date,gross_pnl,transaction_cost,net_pnl
2022-09-02,6.45461815868473e-05,4.737421379979123e-05,1.717196778705607e-05
2022-09-06,-6.118930036851154e-05,3.121177965372361e-07,-6.150141816504878e-05
2022-09-07,-0.00038162281107403907,6.866604418797759e-06,-0.0003884894154928368
2022-09-08,0.0005503590967946375,1.8551587606509685e-06,0.0005485039380339865
2022-09-09,-0.0002920486229304037,3.924274029957278e-07,-0.00029244105033339945
2022-09-12,0.0,5.539143177970699e-05,-5.539143177970699e-05
2022-09-13,0.0,0.0,0.0
2022-09-14,0.0,0.0,0.0
2022-09-15,0.0,0.0,0.0
2022-09-16,0.0,0.0,0.0
2022-09-19,0.0012994811041706564,0.00014594676250156863,0.0011535343416690877
2022-09-20,0.000856006813945388,7.585791248764422e-05,0.0007801489014577438
2022-09-21,0.0004808579462768502,8.21110978549533e-07,0.00048003683529830067
2022-09-22,-4.8157233100515296e-05,1.0986748096039959e-06,-4.925590791011929e-05
2022-09-23,0.0003740206543552051,9.453856973571998e-07,0.00037307526865784787
2022-09-26,0.0004981127757897814,6.844131756879611e-06,0.0004912686440329018
2022-09-27,-0.0003134521617990823,3.0476267525167273e-06,-0.00031649978855159905
2022-09-28,0.0008210509979650936,5.956627630135125e-05,0.0007614847216637424
2022-09-29,0.0007258420442297962,4.4154002405115e-06,0.0007214266439892847
2022-09-30,-0.0011632686018587547,7.242161057511576e-07,-0.001163992817964506
2022-10-03,9.189418518623562e-06,7.727590547424752e-05,-6.808648695562396e-05
2022-10-04,-0.0004061059507887504,1.6093691393399486e-07,-0.0004062668877026844
2022-10-05,-0.001503474801438816,0.00022299721583367524,-0.0017264720172724913
2022-10-06,0.0004424943778090673,8.105485995248403e-06,0.00043438889181381894
2022-10-07,-0.0008472496920654495,9.276365852372954e-05,-0.0009400133505891791
2022-10-10,-0.0009512811928105575,1.961146748295155e-05,-0.000970892660293509
2022-10-11,-0.0026841951326873783,7.241070217711698e-05,-0.0027566058348644953
2022-10-12,0.0004529924924077773,1.2795990721674675e-05,0.0004401965016861026
2022-10-13,0.0009856329821979655,2.2836533951936332e-05,0.0009627964482460292
2022-10-14,0.0023161078856731533,1.7082655631252878e-05,0.0022990252300419006
2022-10-17,-0.0007035392997605805,0.0003793328387398117,-0.001082872138500392
2022-10-18,2.648745511091862e-05,0.00013880223996968674,-0.00011231478485876813
2022-10-19,-0.0015110774091261722,3.573663412357382e-05,-0.0015468140432497459
2022-10-20,-0.006231006752263307,0.00024115739967372904,-0.006472164151937036
2022-10-21,-0.0028157011277171818,9.879943108494186e-05,-0.0029145005588021235
2022-10-24,0.0004008942073444132,3.618102630763216e-06,0.00039727610471365
2022-10-25,3.142880840277041e-05,9.453198017466142e-06,2.1975610385304267e-05
2022-10-26,-0.0003020125253570134,1.2551797501224177e-06,-0.00030326770510713584
2022-10-27,-0.0014737796811370575,0.0001371577826582581,-0.0016109374637953155
2022-10-28,-0.0015350133155178566,4.796577230770448e-06,-0.001539809892748627
2022-10-31,-0.00045651094174361585,8.095713591066464e-05,-0.0005374680776542805
2022-11-01,-0.0003920377134075474,2.784643137658467e-06,-0.00039482235654520587
2022-11-02,0.0005725929371072175,1.009249864099904e-06,0.0005715836872431175
2022-11-03,0.00010869757806364995,5.3639682543037517e-05,5.505789552061243e-05
2022-11-04,0.0016361947006756335,7.575982033017082e-06,0.0016286187186426164
2022-11-07,-1.1334622687295224e-05,5.041887993027826e-06,-1.637651068032305e-05
2022-11-08,0.0011335809431028978,1.966567923362335e-06,0.0011316143751795354
2022-11-09,0.0010921647676365412,3.2438146516316376e-05,0.001059726621120225
2022-11-10,0.0007576305383828986,2.677580695037054e-06,0.0007549529576878616
2022-11-11,0.000169828369475672,4.6321785214620686e-05,0.0001235065842610513
2022-11-14,-0.0005978665768419265,5.226534647746213e-05,-0.0006501319233193886
2022-11-15,-0.0007013542677355047,9.659446140979228e-05,-0.000797948729145297
2022-11-16,0.0015611582464484543,6.895347874880387e-07,0.0015604687116609662
2022-11-17,0.00046293569864012073,2.3592631983136264e-06,0.0004605764354418071
2022-11-18,0.00044383933054073597,1.1332937522799264e-06,0.00044270603678845603
2022-11-21,0.0003947919795510352,2.2466507880062811e-07,0.00039456731447223457
2022-11-22,-0.0009471045958397816,8.358990048302866e-07,-0.0009479404948446119
2022-11-23,4.9102748345524415e-05,3.9329515071736506e-05,9.77323327378791e-06
2022-11-25,0.0004937714414194436,3.8705933984402015e-05,0.00045506550743504157
2022-11-28,-4.369454340861622e-05,1.0728115751619318e-06,-4.476735498377815e-05
2022-11-29,0.00039167945340725676,1.1262797572331105e-06,0.00039055317365002364
